"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WB8XECDI","journalArticle","2017","Comans, T.; Chang, AT.; Standfield, L.; Knowles, D.; O'Leary, S.; Raymer, M.","The development and practical application of a simulation model to inform musculoskeletal service delivery in an Australian public health service","Operations Research for Health Care","","22116923","10.1016/j.orhc.2017.07.002","https://www.sciencedirect.com/science/article/pii/S2211692317300280","","2017-12","2025-02-24 19:15:56","2025-02-24 19:15:56","","13-18","","","15","","","","","","","","","","en","","","","","","","","","","","Simulation modelling; Operations management; Waiting time; Workforce; Medicine; Scale (social sciences); One Health; Public health service; Service delivery framework","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELLTR2NX","journalArticle","2014","Ferrand, Y.; Magazine, MJ.; Rao, US.","Partially flexible operating rooms for elective and emergency surgeries","Decision Sciences","","00117315","10.1111/deci.12096","https://onlinelibrary.wiley.com/doi/abs/10.1111/deci.12096","In hospitals, the management of operating rooms faces a trade-off between the need to be responsive to emergency surgeries and to conduct scheduled elective surgeries efficiently. Operating rooms can be configured as flexible and handle both electives and emergencies, or as dedicated to focus on either electives or emergencies. With flexible rooms, the prioritization of emergencies over scheduled electives can lead to schedule disruptions. Focused rooms can lead to imbalances between capacity and surgery workload. Whereas hospital administrators typically handle this trade-off by employing either flexible rooms (complete flexibility) or dedicated rooms (complete focus), we investigate whether a combination of flexible and dedicated rooms (partial flexibility) could be a preferable alternative. The ensuing question is what is the right combination of flexible and dedicated rooms? A versatile simulation model is developed to evaluate different resource allocation policies under various environmental parameters and performance metrics, including patient wait time, staff overtime, and operating room utilization. The main result is that partial flexibility configurations outperform both complete flexibility and complete focus policies by providing solutions with improved values of expected wait time for both emergency and elective patients.","2014-10-28","2025-02-24 19:15:58","2025-02-24 19:15:58","","819-847","","","45","","","","","","","","","","en","","","","","","","","","","","Workload; Operations management; Resource allocation; Computer science; Flexibility (engineering); Schedule; Focus (computing); Prioritization; Wait time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LV8TVMCA","journalArticle","2010","CHEN, B.; LI, E.; Kazunobu, Y.; Ken, K.; Shinji, N.; MIAO, W.","Impact of adjustment measures on reducing outpatient waiting time in a community hospital: application of a computer simulation","Chinese Medical Journal","","03666999","10.3760/cma.j.issn.0366-6999.2010.05.013","","<jats:sec> <jats:title>Background</jats:title> <jats:p>As an important determinant of patient satisfaction, waiting time, has gained increasing attention in the field of health care services. The present study aimed to illustrate the distribution characteristics of waiting time in a community hospital and explore the impact of potential measures to reduce outpatient waiting time based on a computer simulation approach.</jats:p> </jats:sec> <jats:sec> <jats:title>Methods</jats:title> <jats:p>During a one-month study period in 2006, a cross-sectional study was conducted in a community hospital located in Shanghai, China. Baseline data of outpatient waiting time were calculated according to the records of registration time and payment time. A simulation technique was adopted to investigate the impact of perspective reform methods on reducing waiting time.</jats:p> </jats:sec> <jats:sec> <jats:title>Results</jats:title> <jats:p>Data from a total of 10 092 patients and 26 816 medical consultations were collected in the study and 19 947 medical consultations were included. The average of the total visit time for outpatients in this hospital was 43.6 minutes in the morning, 19.1 minutes in the afternoon, and 34.3 minutes for the whole day studied period. The simulation results suggested that waiting time for outpatients could be greatly reduced through the introduction of appointment system and flexible demand-orientated doctor scheduling according to the numbers of patients waiting at different time of the workday.</jats:p> </jats:sec> <jats:sec> <jats:title>Conclusion</jats:title> <jats:p>Adoption of an appointment system and flexible management of doctor scheduling may be effective way to achieve decreased waiting time.</jats:p> </jats:sec>","2010-03","2025-02-24 19:15:59","2025-02-24 19:15:59","","574-580","","","123","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JIZZCDJ7","journalArticle","2020","Neumann, J.; Angrick, C.; Höhn, C.; Zajonz, D.; Ghanem, M.; Roth, A.; Neumuth, T.","Surgical Workflow Simulation for the Design and Assessment of Operating Room Setups in Orthopedic Surgery","BMC medical informatics and decision making","","14726947","10.1186/s12911-020-1086-3","https://doi.org/10.1186/s12911-020-1086-3","The design and internal layout of modern operating rooms (OR) are influencing the surgical team’s collaboration and communication, ergonomics, as well as intraoperative hygiene substantially. Yet, there is no objective method for the assessment and design of operating room setups for different surgical disciplines and intervention types available. The aim of this work is to establish an improved OR setup for common procedures in arthroplasty. With the help of computer simulation, a method for the design and assessment of enhanced OR setups was developed. New OR setups were designed, analyzed in a computer simulation environment and evaluated in the actual intraoperative setting. Thereby, a 3D graphical simulation representation enabled the strong involvement of clinical stakeholders in all phases of the design and decision-making process of the new setup alternatives. The implementation of improved OR setups reduces the instrument handover time between the surgeon and the scrub nurse, the travel paths of the OR team as well as shortens the procedure duration. Additionally, the ergonomics of the OR staff were improved. The developed simulation method was evaluated in the actual intraoperative setting and proved its benefit for the design and optimization of OR setups for different surgical intervention types. As a clinical result, enhanced setups for total knee arthroplasty and total hip arthroplasty surgeries were established in daily clinical routine and the OR efficiency was improved.","2020-07-02","2025-02-24 19:15:59","2025-02-24 19:15:59","","145","","","20","","","","","","","","","","en","","","","","","","","","","","Discrete event simulation; Workflow; Arthroplasty; Operating room management; Surgical process optimization; Surgical workflow simulation; Computer science; Health informatics; Reliability engineering; Process (computing); Handover; Surgical team","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2RMVJQXX","journalArticle","2016","Johnson, G.; Kiernan, J.; Swan, A.; Botwick, E.; Spier, W.; White, KP.; Valdez, J.; Kang, H.; Lobo, JM.","Designing patient throughput and task management innovations in orthopaedics","2016 IEEE Systems and Information Engineering Design Symposium (SIEDS)","","","10.1109/sieds.2016.7489284","https://ieeexplore.ieee.org/document/7489284/","The Orthopaedic and Sports Medicine Clinics of the University of Virginia Health System are collocated in the Fontaine Research Park. The two departments operate in separate clinics, but share a Radiology Department. Collectively, the clinics serve about 42,000 outpatient visits annually. With patient visits projected to increase substantially in the coming years, the clinics seek process improvements that will accommodate growth and sustain strong patient satisfaction well into the future. This paper describes a simulation study of patient flows in the clinics under various future demand scenarios, including alternative patient volumes and no-show rates. The study explored the impact of best practices for in-clinic task management, patient and staff scheduling, and patient communications. Key performance measures included patient waiting times, total time in clinic, facility utilization, and on-time clinic closings. The model was developed based on patient schedule and tracking data. The results of the simulation model and clinic observations provided evidence to support multiple process improvements within the clinics. Introducing an additional front desk attendant in each clinic during busy times to assist with incoming phone calls and patient check-ins will allow for patients to be seen sooner and for more efficient appointment scheduling. Altering appointment time slots from 15 minutes to 10 minutes and distributing scheduled appointments more evenly throughout the day will allow providers to see more patients and reduce the need for overbooking, effectively decreasing patient waiting time. Based on the results of our analysis, implementing these changes to the clinics may allow for future growth while preserving patient satisfaction.","2016-04","2025-02-24 19:16:00","2025-02-24 19:16:00","","124-129","","","","","","","","","","","","","en","","","","","","","","","","","Operations management; Patient satisfaction; Outpatient clinic; Medicine; Scheduling (computing); Desk; Sports medicine; Best practice; Phone; Task management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TF3P9FBH","journalArticle","2023","Harper, A.; Monks, T.; Wilson, R.; Redaniel, MT.; Eyles, E.; Jones, T.; Penfold, C.; Elliott, A.; Keen, T.; Pitt, M.; Blom, A.; Whitehouse, MR.; Judge, A.","Development and application of simulation modelling for orthopaedic elective resource planning in England.","BMJ open","","20446055","10.1136/bmjopen-2023-076221","https://bmjopen.bmj.com/content/bmjopen/13/12/e076221.full.pdf","<AbstractText Label=""OBJECTIVES"">This study aimed to develop a simulation model to support orthopaedic elective capacity planning.</AbstractText> <AbstractText Label=""METHODS"">An open-source, generalisable discrete-event simulation was developed, including a web-based application. The model used anonymised patient records between 2016 and 2019 of elective orthopaedic procedures from a National Health Service (NHS) Trust in England. In this paper, it is used to investigate scenarios including resourcing (beds and theatres) and productivity (lengths of stay, delayed discharges and theatre activity) to support planning for meeting new NHS targets aimed at reducing elective orthopaedic surgical backlogs in a proposed ring-fenced orthopaedic surgical facility. The simulation is interactive and intended for use by health service planners and clinicians.</AbstractText> <AbstractText Label=""RESULTS"">A higher number of beds (65-70) than the proposed number (40 beds) will be required if lengths of stay and delayed discharge rates remain unchanged. Reducing lengths of stay in line with national benchmarks reduces bed utilisation to an estimated 60%, allowing for additional theatre activity such as weekend working. Further, reducing the proportion of patients with a delayed discharge by 75% reduces bed utilisation to below 40%, even with weekend working. A range of other scenarios can also be investigated directly by NHS planners using the interactive web app.</AbstractText> <AbstractText Label=""CONCLUSIONS"">The simulation model is intended to support capacity planning of orthopaedic elective services by identifying a balance of capacity across theatres and beds and predicting the impact of productivity measures on capacity requirements. It is applicable beyond the study site and can be adapted for other specialties.</AbstractText> <CopyrightInformation>© Author(s) (or their employer(s)) 2023. Re-use permitted under CC BY. Published by BMJ.</CopyrightInformation>","2023-12-22","2025-02-24 19:16:01","2025-02-24 19:16:01","","e076221-e076221","","","13","","","","","","","","","","en","","","","","","","","","","","Capacity planning; Operations management; Medical emergency; Resource planning; Elective surgery; Computer science; Medicine; Orthopedic surgery; Surgery; Engineering; Service (business); Economics; Business; Marketing; Environmental resource management; Computer network; Environmental science; Information management; Macroeconomics; Organisation of health services; Orthopaedic & trauma surgery; ORTHOPAEDIC & TRAUMA SURGERY; Productivity; Resource (disambiguation); World Wide Web technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M5UCSCRJ","journalArticle","2016","Simwita, YW.; Helgheim, BI.","Improving surgeon utilization in an orthopedic department using simulation modeling.","Journal of healthcare leadership","","11793201","10.2147/jhl.s112856","https://www.dovepress.com/improving-surgeon-utilization-in-an-orthopedic-department-using-simula-peer-reviewed-fulltext-article-JHL","Purpose Worldwide more than two billion people lack appropriate access to surgical services due to mismatch between existing human resource and patient demands. Improving utilization of existing workforce capacity can reduce the existing gap between surgical demand and available workforce capacity. In this paper, the authors use discrete event simulation to explore the care process at an orthopedic department. Our main focus is improving utilization of surgeons while minimizing patient wait time. Methods The authors collaborated with orthopedic department personnel to map the current operations of orthopedic care process in order to identify factors that influence poor surgeons utilization and high patient waiting time. The authors used an observational approach to collect data. The developed model was validated by comparing the simulation output with the actual patient data that were collected from the studied orthopedic care process. The authors developed a proposal scenario to show how to improve surgeon utilization. Results The simulation results showed that if ancillary services could be performed before the start of clinic examination services, the orthopedic care process could be highly improved. That is, improved surgeon utilization and reduced patient waiting time. Simulation results demonstrate that with improved surgeon utilizations, up to 55% increase of future demand can be accommodated without patients reaching current waiting time at this clinic, thus, improving patient access to health care services. Conclusion This study shows how simulation modeling can be used to improve health care processes. This study was limited to a single care process; however the findings can be applied to improve other orthopedic care process with similar operational characteristics.","2016-10-05","2025-02-24 19:16:01","2025-02-24 19:16:01","","41-50","","","8","","","","","","","","","","en","","","","","","","","","","","Discrete event simulation; waiting time; Operations management; Human resources; Simulation modeling; Health care; Workforce; Observational study; Medicine; Emergency medicine; Orthopedic surgery; health care process; Orthopedic department; patient","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZU2BUXK","journalArticle","2014","Lu, T.; Tsai, P.; Chu, Y.","CSCWD - An agent-based collaborative model for orthopedic outpatient scheduling","Proceedings of the 2014 IEEE 18th International Conference on Computer Supported Cooperative Work in Design (CSCWD)","","","10.1109/cscwd.2014.6846916","https://dblp.uni-trier.de/db/conf/cscwd/cscwd2014.html#LuTC14","In many Asian countries, healthcare system has a mixed-type registration which accepts both walk-in patients and scheduled patients. That makes outpatient scheduling a difficult task and results in long outpatient waiting time. Nowadays, hospitals in Taiwan emphasize on providing high quality service for patients. Survey of outpatient satisfaction showed that at Taoyuan Armed Forces General Hospital the long waiting time is by far the most dissatisfied service quality. Current data shows those outpatients need to wait for an average of up to two hours before being served. In attempt to reduce outpatient waiting time, we proposed a genuine agent-based adoptive scheduling model for service sectors within which fixed scheduling rules will not work because humans are autonomous and their behavior will change according to the real-time situation and the scheduling rules applied. The proposed model uses software agents to dynamically adjust the scheduling rules to adapt to the real-time situation in the clinic. Simulation models were built based on two months of data collected manually from the hospital to test the proposed model. Results showed that agent-based collaborative control system can reduce waiting time by29%~36% for walk-in patients and 61%~63%for scheduled patients respectively.","2014-05","2025-02-24 19:16:01","2025-02-24 19:16:01","","621-626","","","","","","","","","","","","","en","","","","","","","","","","","Operations management; Waiting time; Service quality; Outpatient scheduling; Computer science; Scheduling (computing); Real-time computing; Collaborative model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RYTAGGZ","journalArticle","2021","Al-Hawari, T.; Khanfar, A.; Mumani, A.; Bataineh, O.","A Simulation-Based Framework for Evaluation of Healthcare Systems with Interacting Factors and Correlated Performance Measures","Arabian Journal for Science and Engineering","","","","https://link.springer.com/article/10.1007/s13369-021-05937-5","All multi-criteria decision making (MCDM) techniques used with discrete event simulation (DES) in previous literature in the analysis of healthcare systems assume that performance measures are independent, while in fact many are correlated. In this study, correlations between performance measures are taken into consideration using modified TOPSIS. A framework is developed in which DES is used to model multiple experiments and factor levels to estimate various performance measures. Design of experiments is used to study the effects of factors and their interactions. Experiments are input to modified TOPSIS as alternatives to be compared based on multiple correlated performance measures. A case study is presented at Educational Dentistry Clinics in Jordan. This study was designed to improve overall clinic performance. Results show that when using appropriate appointment scheduling rules and orthodontist working schedules, and exploiting the resources effectively, the best scenario obtained shows an effective decrease in orthodontic patient waiting times and length of stay (LOS), and primary diagnosis patients LOS by 29.44%, 37.74% and 7.12%, respectively. It also shows an increase in orthodontist and receptionist utilizations, and number of patients served by 11.22%, 65.82% and 69.39%, respectively. The results obtained from modified TOPSIS were more accurate as compared to traditional TOPSIS. As a future work, other appointment rules can be tested and other MCDM techniques that take criteria correlations into consideration can be used to rank the experiments such as the analytic network process.","2021-07-08","2025-02-24 19:16:01","2025-02-24 19:16:01","","1-18","","","","","","","","","","","","","en","","","","","","","","","","","Discrete event simulation; Design of experiments; Statistics; Healthcare system; Computer science; Simulation based; Analytic network process; Multiple-criteria decision analysis; Rank (computer programming); TOPSIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBGRDPRS","journalArticle","2022","Boyle, L.; Mackay, M.","A Reusable Discrete Event Simulation Model for Improving Orthopedic Waiting Lists","2022 Winter Simulation Conference (WSC)","","","10.1109/wsc57314.2022.10015512","https://pure.qub.ac.uk/files/445253379/manuscript_boylemackay_final.pdf","Waiting lists for orthopedic treatment in Australia are lengthy and frequently breach time-based performance targets, due to high demand and limited resources. This paper presents a discrete event simulation model of an orthopedic treatment pathway in Australia from the point of referral to surgical intervention for knee pain patients. The simulation model was used to investigate strategies for reducing the backlog of patients and average waiting time for initial orthopedic review, showing that a reduction of 34% in average waiting time can be achieved by adding three additional appointments per week. The model demonstrates that introduction of community-based rehabilitation early in the patient journey can significantly reduce waiting lists and improve patient recovery, without the need for surgical intervention. This simulation model has been designed to be reusable for other types of orthopedic conditions, and for use in other health services.","2022-12-11","2025-02-24 19:16:05","2025-02-24 19:16:05","","973-984","","","","","","","","","","","","","en","","","","","","","","","","","Simulation; Discrete event simulation; Waiting list; Medical emergency; Rehabilitation; Computer science; Medicine; Referral; Orthopedic surgery; Surgery; Physical therapy; Nursing; Mathematics; Physics; Event (particle physics); Quantum mechanics; Intervention (counseling); Transplantation; Point (geometry); Geometry; Reduction (mathematics)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
